#;Head;Variacao1;Variacao2;Variacao3;Variacao4
1;Plataforma;Plataforma;;;
2;Tipo de Publicação;Tipo de Publicação;;;
3;Id;videoId;tweetid;postid;complaintId
4;commentId;commentId;;;
5;replyId;replyId;;;
6;parentId;parentId;;;
7;title;title;;;
8;description;description;text;message;
9;publishedAt;publishedAt;createdAt;createdTime;JoinDate
10;channelId;channelId;;;
11;ownerId;ownerId;userId;authorId;fromId
12;ownerUsername;ownerUsername;username;authorUsername;fromName
13;authorName;authorName;name;;
14;authorProfileUrl;authorProfileUrl;;;
15;channelTitle;channelTitle;;;
16;tags;tags;;;
17;categoryId;categoryId;;;
18;liveBroadcastContent;liveBroadcastContent;;;
19;story;story;;;
20;defaultLanguage;defaultLanguage;;;
21;defaultAudioLanguage;defaultAudioLanguage;;;
22;duration;duration;;;
23;viewCount;viewCount;;;
24;likeCount;likeCount;;;
25;dislikeCount;dislikeCount;;;
26;favoriteCount;favoriteCount;favouritesCount;;
27;commentCount;commentCount;;;
28;retweetCount;retweetCount;;;
29;quoteCount;quoteCount;;;
30;replyCount;replyCount;repliesCount;;
31;shareCount;shareCount;;;
32;playCount;playCount;;;
33;followersCount;followersCount;;;
34;friendsCount;friendsCount;;;
35;listedCount;listedCount;;;
36;statusesCount;statusesCount;;;
37;totalComplaints;totalComplaints;;;
38;totalResponses;totalResponses;;;
39;totalUpvotes;totalUpvotes;;;
40;totalDownvotes;totalDownvotes;;;
41;reactionsCount;reactionsCount;;;
42;videoUrl;videoUrl;mediaUrl;;
43;thumbnailUrl;thumbnailUrl;mediaThumbnailUrl;;
44;profileBannerUrl;profileBannerUrl;;;
45;urls;urls;url;;
46;musicUrl;musicUrl;;;
47;mediaType;mediaType;;;
48;textDisplay;textDisplay;;;
49;authorDisplayName;authorDisplayName;;;
50;authorProfileImageUrl;authorProfileImageUrl;profileImageUrl;;
51;authorChannelUrl;authorChannelUrl;;;
52;authorChannelId;authorChannelId;;;
53;updatedAt;updatedAt;;;
54;inReplyToStatusId;inReplyToStatusId;;;
55;inReplyToUserId;inReplyToUserId;;;
56;inReplyToUsername;inReplyToUsername;;;
57;lang;lang;;;
58;source;source;;;
59;geo;geo;;;
60;coordinates;coordinates;;;
61;place;place;;;
62;hashtags;hashtags;hashtag1;;
63;hashtag2;hashtag2;;;
64;hashtag3;hashtag3;;;
65;userMentions;userMentions;;;
66;verified;verified;;;
67;companyId;companyId;;;
68;companyName;companyName;;;
69;musicTitle;musicTitle;;;
70;musicAuthor;musicAuthor;;;
71;permalink;permalink;;;
72;status;status;;;
73;category;category;;;
74;product;product;;;
75;desiredResolution;desiredResolution;;;
76;responseId;responseId;;;
77;responseCount;responseCount;;;
78;upvotes;upvotes;;;
79;downvotes;downvotes;;;
80;location;location;;;
81;caption;caption;;;
82;statusType;statusType;;;
83;type;type;;;
84;link;link;;;
85;picture;picture;;;
86;icon;icon;;;
